DC Bias Voltage (mV), DC Tunneling Current (mA)
2.535563, 0.058862
2.537818, 0.058927
2.540718, 0.058959
2.542651, 0.059007
2.545551, 0.059055
2.547484, 0.059152
2.549095, 0.059168
2.551672, 0.059233
2.553928, 0.059281
2.556183, 0.059345
2.558438, 0.059378
2.560693, 0.059426
2.563271, 0.059474
2.564560, 0.059474
2.567137, 0.059539
2.569392, 0.059619
2.571648, 0.059651
2.573903, 0.059716
2.576480, 0.059780
2.578091, 0.059829
2.580347, 0.059893
2.582924, 0.059974
2.584535, 0.060022
2.587112, 0.060086
2.590012, 0.060135
2.591945, 0.060199
2.594200, 0.060264
2.596778, 0.060360
2.598067, 0.060376
2.600644, 0.060409
2.602577, 0.060489
2.605477, 0.060537
2.607410, 0.060602
2.609987, 0.060666
2.612243, 0.060699
2.614498, 0.060795
2.616431, 0.060860
2.618364, 0.060924
2.621264, 0.061037
2.622875, 0.061101
2.625130, 0.061150
2.627707, 0.061246
2.629963, 0.061295
2.631251, 0.061391
2.633507, 0.061488
2.636406, 0.061536
2.638662, 0.061617
2.640595, 0.061713
2.643494, 0.061778
2.645428, 0.061842
2.647683, 0.061923
2.649938, 0.061987
2.651871, 0.062100
2.654449, 0.062213
2.656060, 0.062293
2.658637, 0.062471
2.660892, 0.062535
2.663148, 0.062696
2.665403, 0.062825
2.667658, 0.062970
2.669591, 0.063083
2.672169, 0.063195
2.674102, 0.063340
2.676679, 0.063485
2.678290, 0.063614
2.680868, 0.063775
2.682801, 0.063920
2.685700, 0.064033
2.687634, 0.064178
2.689567, 0.064404
2.691822, 0.064565
2.694399, 0.064710
2.696655, 0.064903
2.698910, 0.065129
2.701487, 0.065354
2.703743, 0.065596
2.705676, 0.065821
2.707287, 0.066079
2.709864, 0.066337
2.712119, 0.066627
2.714697, 0.066933
2.715986, 0.067239
2.719207, 0.067577
2.721141, 0.067899
2.723718, 0.068222
2.725651, 0.068608
2.727906, 0.068995
2.730484, 0.069397
2.731773, 0.069816
2.734028, 0.070380
2.736283, 0.070912
2.738861, 0.071524
2.740472, 0.072168
2.742727, 0.072861
2.745304, 0.073489
2.747560, 0.074246
2.750137, 0.075052
2.751748, 0.075857
2.753681, 0.076695
2.756903, 0.077613
2.758836, 0.078628
2.761413, 0.079611
2.763024, 0.080771
2.764635, 0.082027
2.767213, 0.083332
2.769790, 0.084733
2.771401, 0.086167
2.774623, 0.087746
2.775590, 0.089437
2.778811, 0.091145
2.780422, 0.093030
2.783000, 0.095011
2.785255, 0.097057
2.787188, 0.099183
2.789443, 0.101471
2.791377, 0.103855
2.793632, 0.106287
2.796209, 0.108800
2.798465, 0.111394
2.800398, 0.114116
2.802653, 0.116710
2.804586, 0.119497
2.807486, 0.122268
2.809419, 0.125167
2.811352, 0.128099
